run,seed,algorithm,best_f,evaluations,chunk_size,chunk_overlap_ratio,chunk_overlap,retrieval_top_k,similarity_threshold,rerank_top_n,max_context_tokens,temperature
1,42,Random Search,59.754507040829836,300,514,0.14398165041513705,74,13,0.374997547225582,6,3580,0.2
1,42,GA,23.964824865951726,300,599,0.17915258385987698,107,15,0.4406198760510531,5,2763,0.2
1,42,LLM-GA,18.31811008951331,300,602,0.18222349883446687,110,13,0.557081675981668,3,2498,0.2
2,43,Random Search,42.39081180074688,300,455,0.1449489419200589,66,13,0.6006393820297233,3,2519,0.2
2,43,GA,19.464560344472268,300,525,0.1493697366935289,78,13,0.5007853020495315,6,3077,0.2
2,43,LLM-GA,21.285479878512376,300,599,0.20589618182123334,123,10,0.5016732679370179,5,2794,0.2
3,44,Random Search,34.90629881252531,300,450,0.20861458655265644,94,13,0.4337200114102012,4,2846,0.2
3,44,GA,27.561518877364676,300,368,0.12091760847163671,44,10,0.44552357858752556,6,2472,0.2
3,44,LLM-GA,17.988700917392258,300,520,0.15015831956015135,78,10,0.4468271913735926,4,2495,0.2
4,45,Random Search,59.38475684626257,300,454,0.06668043106736339,30,13,0.6023678081495185,5,2871,0.2
4,45,GA,24.054456029331973,300,604,0.15413334288434996,93,13,0.4446159842245334,4,3089,0.2
4,45,LLM-GA,21.673113964092096,300,678,0.1474261395275549,100,8,0.5002650941500458,3,2784,0.2
5,46,Random Search,55.931437243488645,300,683,0.18094639948377075,124,8,0.614741725731019,2,2585,0.2
5,46,GA,18.18658477462489,300,597,0.18058299923386986,108,10,0.5050694666060506,3,2791,0.2
5,46,LLM-GA,19.402504350063666,300,526,0.1217045321032854,64,10,0.43876340472905795,4,2789,0.2
6,47,Random Search,63.01761811467297,300,841,0.06350082496950121,53,10,0.6691669828516271,3,2617,0.2
6,47,GA,22.379439832339536,300,594,0.1794951240601659,107,10,0.4398097674200837,4,3065,0.2
6,47,LLM-GA,18.420723544473574,300,601,0.14833756200479598,89,13,0.4483976863526676,4,2499,0.2
7,48,Random Search,42.2391076923387,300,605,0.12225898405775892,74,16,0.3763472798916695,5,2797,0.2
7,48,GA,17.888824999060745,300,679,0.15063877754508673,102,13,0.5619744169214612,3,2792,0.2
7,48,LLM-GA,27.318656094073013,300,520,0.1496210545890721,78,8,0.43534619392315976,5,3098,0.2
8,49,Random Search,54.28309986297927,300,440,0.16823605312851242,74,12,0.43180157949850106,4,2520,0.2
8,49,GA,17.42757128825769,300,522,0.1208563603561735,63,10,0.501315367350373,3,2221,0.2
8,49,LLM-GA,24.31925437563337,300,521,0.17912237578491075,93,10,0.6152610380947557,3,3093,0.2
9,50,Random Search,47.55552457109204,300,828,0.18037590371020487,149,11,0.562793089420814,3,2429,0.2
9,50,GA,18.518849927878613,300,674,0.1499391358222404,101,10,0.4412444914682298,4,2773,0.2
9,50,LLM-GA,20.153172530038272,300,526,0.18061289787042842,95,10,0.5578876256063228,5,2528,0.2
10,51,Random Search,55.57911179312183,300,593,0.1992491724923242,118,10,0.5069261496003081,4,2362,0.2
10,51,GA,22.795358855354394,300,599,0.09148937936760096,55,13,0.49717013639655827,4,3079,0.2
10,51,LLM-GA,19.572486190760017,300,515,0.121,62,13,0.561,4,2509,0.2
11,52,Random Search,46.79420295602977,300,605,0.18264165094370707,110,13,0.4962848832379351,2,3396,0.2
11,52,GA,24.606444345778463,300,602,0.14987162049581818,90,15,0.4363648598530676,4,2825,0.2
11,52,LLM-GA,18.99053472670564,300,605,0.11777919963047545,71,10,0.4998939318287458,3,2798,0.2
12,53,Random Search,38.49863292296122,300,371,0.12181366397673254,45,12,0.4445073965451487,6,2809,0.2
12,53,GA,24.31729455655406,300,520,0.11835622299727527,62,15,0.4970031804266487,4,2811,0.2
12,53,LLM-GA,27.605271542977775,300,445,0.20850369477299133,93,8,0.4980495842552034,3,2804,0.2
13,54,Random Search,58.948968686934066,300,294,0.09100466104497679,27,11,0.6743215194973922,6,3099,0.2
13,54,GA,25.19416083000481,300,596,0.061632707785974516,37,10,0.5007569652384147,4,2523,0.2
13,54,LLM-GA,16.501582634694493,300,603,0.12181441787638428,73,13,0.5006380629400583,3,2791,0.2
14,55,Random Search,51.589882899886206,300,592,0.2371135785933127,140,10,0.6295220798334159,3,2298,0.2
14,55,GA,23.598881502136173,300,599,0.1503565048259633,90,13,0.614151269447847,5,2832,0.2
14,55,LLM-GA,18.91482324359117,300,521,0.12078989090761372,63,13,0.4453512603307668,5,2484,0.2
15,56,Random Search,46.210277913234435,300,600,0.20484819397286838,123,11,0.3338782038867564,4,2528,0.2
15,56,GA,27.465165611171713,300,602,0.12224130224394308,74,10,0.6171500390936663,4,2848,0.2
15,56,LLM-GA,23.51159869121665,300,444,0.1495116289620955,66,13,0.6148391159404794,5,2206,0.2
16,57,Random Search,45.369688684798106,300,436,0.11065361673255708,48,10,0.5682996917387255,6,2777,0.2
16,57,GA,17.481343651932434,300,680,0.1500629985763507,102,13,0.4407244764679683,4,2511,0.2
16,57,LLM-GA,18.84178680071483,300,683,0.12094637342713017,83,10,0.5606494443146993,3,2517,0.2
17,58,Random Search,44.922626609388765,300,514,0.14676196632959052,75,10,0.4350329552369307,3,3282,0.2
17,58,GA,17.272954206956825,300,522,0.17920758871128395,94,13,0.5560038379334517,3,2500,0.2
